fname,fs,alpha,k
aaabadmintonplayers.csv,1,0.001,1
aaabadmintonplayers.csv,2,0.001,1
aaabadmintonplayers.csv,3,0.001,1
aaabadmintonplayers.csv,4,0.001,1
aaabadmintonplayers.csv,5,0.001,1
aaacyclists.csv,1,0.001,1
aaacyclists.csv,2,0.001,1
aaacyclists.csv,3,0.001,1
aaacyclists.csv,4,0.001,1
aaacyclists.csv,5,0.001,1
aaahandballplayers.csv,1,0.001,1
aaahandballplayers.csv,2,0.001,1
aaahandballplayers.csv,3,0.001,1
aaahandballplayers.csv,4,0.001,1
aaahandballplayers.csv,5,0.001,1
aaatennisplayers.csv,1,0.001,1
aaatennisplayers.csv,2,0.001,1
aaatennisplayers.csv,3,0.001,1
aaatennisplayers.csv,4,0.005,1
aaatennisplayers.csv,5,0.008,1
aaabasketballplayers.csv,1,0.001,1
aaabasketballplayers.csv,2,0.001,1
aaabasketballplayers.csv,3,0.001,1
aaabasketballplayers.csv,4,0.03000000000000002,1
aaabasketballplayers.csv,5,0.057000000000000044,1
aaagolfplayers.csv,1,0.001,1
aaagolfplayers.csv,2,0.001,1
aaagolfplayers.csv,3,0.001,1
aaagolfplayers.csv,4,0.010000000000000002,1
aaagolfplayers.csv,5,0.02000000000000001,1
aaarower.csv,0,1,0.001,2
aaarower.csv,0,2,0.001,2
aaarower.csv,3,0.001,1
aaarower.csv,4,0.001,1
aaarower.csv,5,0.001,1
aaavolleyballplayers.csv,1,0.001,1
aaavolleyballplayers.csv,2,0.001,1
aaavolleyballplayers.csv,3,0.002,1
aaavolleyballplayers.csv,4,0.05400000000000004,1
aaavolleyballplayers.csv,5,0.10100000000000008,1
aaaboxers.csv,1,0.001,1
aaaboxers.csv,2,0.001,1
aaaboxers.csv,3,0.001,1
aaaboxers.csv,4,0.022000000000000013,1
aaaboxers.csv,5,0.04200000000000003,1
aaagymnasts.csv,1,0.001,1
aaagymnasts.csv,2,0.001,1
aaagymnasts.csv,3,0.001,1
aaagymnasts.csv,4,0.003,1
aaagymnasts.csv,5,0.006,1
aaaswimmers.csv,1,0.001,1
aaaswimmers.csv,2,0.001,1
aaaswimmers.csv,3,0.001,1
aaaswimmers.csv,4,0.011000000000000003,1
aaaswimmers.csv,5,0.02100000000000001,1
aaawrestlers.csv,1,0.001,1
aaawrestlers.csv,2,0.001,1
aaawrestlers.csv,3,0.001,1
aaawrestlers.csv,4,0.001,1
aaawrestlers.csv,5,0.001,1
