fname,fs,alpha,k
58891288_0_1117541047012405958.csv,1,0.001,1
58891288_0_1117541047012405958.csv,2,0.001,1
58891288_0_1117541047012405958.csv,3,0.028000000000000018,1
58891288_0_1117541047012405958.csv,4,0.25500000000000017,1
58891288_0_1117541047012405958.csv,5,0.3970000000000003,1
8468806_0_4382447409703007384.csv,1,1,0.001,4
8468806_0_4382447409703007384.csv,1,2,0.001,4
8468806_0_4382447409703007384.csv,1,3,0.001,3
8468806_0_4382447409703007384.csv,1,4,0.001,3
8468806_0_4382447409703007384.csv,1,5,0.001,3
50245608_0_871275842592178099.csv,1,0.001,1
50245608_0_871275842592178099.csv,2,0.001,1
50245608_0_871275842592178099.csv,3,0.023000000000000013,1
50245608_0_871275842592178099.csv,4,0.21300000000000016,1
50245608_0_871275842592178099.csv,5,0.34200000000000025,1
14067031_0_559833072073397908.csv,1,0.001,1
14067031_0_559833072073397908.csv,2,0.001,1
14067031_0_559833072073397908.csv,3,0.003,1
14067031_0_559833072073397908.csv,4,0.07100000000000005,1
14067031_0_559833072073397908.csv,5,0.1310000000000001,1
39759273_0_1427898308030295194.csv,1,0.001,1
39759273_0_1427898308030295194.csv,2,0.001,1
39759273_0_1427898308030295194.csv,3,0.01900000000000001,1
39759273_0_1427898308030295194.csv,4,0.19000000000000014,1
39759273_0_1427898308030295194.csv,5,0.3110000000000002,1
14380604_4_3329235705746762392.csv,1,0.001,1
14380604_4_3329235705746762392.csv,2,0.001,1
14380604_4_3329235705746762392.csv,3,0.013000000000000005,1
14380604_4_3329235705746762392.csv,4,0.1220000000000001,1
14380604_4_3329235705746762392.csv,5,0.21000000000000016,1
20135078_0_7570343137119682530.csv,1,0.02000000000000001,1
20135078_0_7570343137119682530.csv,2,0.03900000000000003,1
20135078_0_7570343137119682530.csv,3,0.17100000000000012,1
20135078_0_7570343137119682530.csv,4,0.3160000000000002,1
20135078_0_7570343137119682530.csv,5,0.4180000000000003,1
29414811_6_8221428333921653560.csv,1,0.001,1
29414811_6_8221428333921653560.csv,2,0.001,1
29414811_6_8221428333921653560.csv,3,0.001,1
29414811_6_8221428333921653560.csv,4,0.001,1
29414811_6_8221428333921653560.csv,5,0.001,1
