fname,colid,fs,alpha,k
v15_1.csv,1,1,0.001,1
v15_1.csv,1,2,0.001,1
v15_1.csv,1,3,0.003,1
v15_1.csv,1,4,0.060000000000000046,1
v15_1.csv,1,5,0.11100000000000008,1
v15_1.csv,3,1,0.008,1
v15_1.csv,3,2,0.015000000000000006,1
v15_1.csv,3,3,0.20000000000000015,1
v15_1.csv,3,4,0.47000000000000036,1
v15_1.csv,3,5,0.6040000000000004,1
v15_1.csv,4,1,0.001,1
v15_1.csv,4,2,0.001,1
v15_1.csv,4,3,0.04400000000000003,1
v15_1.csv,4,4,0.4230000000000003,1
v15_1.csv,4,5,0.5430000000000004,2
v15_3.csv,0,1,0.03400000000000002,1
v15_3.csv,0,2,0.06400000000000004,1
v15_3.csv,0,3,0.2460000000000002,1
v15_3.csv,0,4,0.3920000000000003,2
v15_3.csv,0,5,0.5290000000000004,2
v15_3.csv,1,1,0.023000000000000013,1
v15_3.csv,1,2,0.04400000000000003,1
v15_3.csv,1,3,0.19300000000000014,1
v15_3.csv,1,4,0.33300000000000024,1
v15_3.csv,1,5,0.43400000000000033,1
v15_30.csv,0,1,0.001,1
v15_30.csv,0,2,0.001,1
v15_30.csv,0,3,0.001,1
v15_30.csv,0,4,0.001,1
v15_30.csv,0,5,0.001,1
v15_30.csv,1,1,0.001,2
v15_30.csv,1,2,0.001,2
v15_30.csv,1,3,0.001,2
v15_30.csv,1,4,0.001,2
v15_30.csv,1,5,0.001,2
v15_31.csv,0,1,0.001,1
v15_31.csv,0,2,0.001,1
v15_31.csv,0,3,0.001,1
v15_31.csv,0,4,0.001,1
v15_31.csv,0,5,0.001,1
v15_31.csv,1,1,0.11900000000000009,1
v15_31.csv,1,2,0.21000000000000016,1
v15_31.csv,1,3,0.5700000000000004,1
v15_31.csv,1,4,0.5470000000000004,2
v15_31.csv,1,5,0.7850000000000006,2
v15_34.csv,0,1,0.028000000000000018,1
v15_34.csv,0,2,0.05300000000000004,1
v15_34.csv,0,3,0.19800000000000015,1
v15_34.csv,0,4,0.32800000000000024,1
v15_34.csv,0,5,0.4220000000000003,1
v15_35.csv,0,1,0.02900000000000002,1
v15_35.csv,0,2,0.05500000000000004,1
v15_35.csv,0,3,0.001,1
v15_35.csv,0,4,0.001,1
v15_35.csv,0,5,0.001,1
v15_36.csv,0,1,0.027000000000000017,1
v15_36.csv,0,2,0.05300000000000004,1
v15_36.csv,0,3,0.22300000000000017,1
v15_36.csv,0,4,0.3920000000000003,1
v15_36.csv,0,5,0.5000000000000003,1
v15_37.csv,0,1,0.001,1
v15_37.csv,0,2,0.001,1
v15_37.csv,0,3,0.001,1
v15_37.csv,0,4,0.012000000000000004,1
v15_37.csv,0,5,0.023000000000000013,1
v15_38.csv,0,1,0.001,1
v15_38.csv,0,2,0.001,1
v15_38.csv,0,3,0.001,1
v15_38.csv,0,4,0.012000000000000004,1
v15_38.csv,0,5,0.024000000000000014,1
v15_39.csv,0,1,0.001,1
v15_39.csv,0,2,0.001,1
v15_39.csv,0,3,0.001,1
v15_39.csv,0,4,0.006,1
v15_39.csv,0,5,0.010000000000000002,1
v15_40.csv,0,1,0.001,1
v15_40.csv,0,2,0.001,1
v15_40.csv,0,3,0.001,1
v15_40.csv,0,4,0.012000000000000004,1
v15_40.csv,0,5,0.023000000000000013,1
v15_41.csv,0,1,0.001,1
v15_41.csv,0,2,0.001,1
v15_41.csv,0,3,0.001,1
v15_41.csv,0,4,0.012000000000000004,1
v15_41.csv,0,5,0.023000000000000013,1
v15_42.csv,0,1,0.001,1
v15_42.csv,0,2,0.001,1
v15_42.csv,0,3,0.001,1
v15_42.csv,0,4,0.011000000000000003,1
v15_42.csv,0,5,0.022000000000000013,1
v15_43.csv,0,1,0.001,1
v15_43.csv,0,2,0.001,1
v15_43.csv,0,3,0.001,1
v15_43.csv,0,4,0.009000000000000001,1
v15_43.csv,0,5,0.01800000000000001,1
v15_44.csv,0,1,0.06100000000000005,1
v15_44.csv,0,2,0.11400000000000009,1
v15_44.csv,0,3,0.001,1
v15_44.csv,0,4,0.001,1
v15_44.csv,0,5,0.001,1
v15_44.csv,1,1,0.001,1
v15_44.csv,1,2,0.001,1
v15_44.csv,1,3,0.01800000000000001,1
v15_44.csv,1,4,0.2800000000000002,1
v15_44.csv,1,5,0.43200000000000033,1
v15_45.csv,0,1,0.05600000000000004,1
v15_45.csv,0,2,0.10500000000000008,1
v15_45.csv,0,3,0.33400000000000024,1
v15_45.csv,0,4,0.44000000000000034,1
v15_45.csv,0,5,0.5230000000000004,1
v15_45.csv,1,1,0.07800000000000006,1
v15_45.csv,1,2,0.1440000000000001,1
v15_45.csv,1,3,0.012000000000000004,1
v15_45.csv,1,4,0.32400000000000023,1
v15_45.csv,1,5,0.4870000000000004,1
v15_47.csv,0,1,0.036000000000000025,1
v15_47.csv,0,2,0.06900000000000005,1
v15_47.csv,0,3,0.2760000000000002,1
v15_47.csv,0,4,0.44800000000000034,1
v15_47.csv,0,5,0.5530000000000004,1
v15_47.csv,1,1,0.001,1
v15_47.csv,1,2,0.001,1
v15_47.csv,1,3,0.014000000000000005,1
v15_47.csv,1,4,0.22700000000000017,1
v15_47.csv,1,5,0.36500000000000027,1
v15_77.csv,0,1,0.001,3
v15_77.csv,0,2,0.001,3
v15_77.csv,0,3,0.001,3
v15_77.csv,0,4,0.001,3
v15_77.csv,0,5,0.001,3
v15_77.csv,1,1,0.009000000000000001,1
v15_77.csv,1,2,0.017000000000000008,1
v15_77.csv,1,3,0.19900000000000015,1
