fname,colid,fsid,from_alpha,to_alpha
68779923_2_1000046510804975562.csv,0,1,0.00100,0.88800
68779923_2_1000046510804975562.csv,0,2,0.00100,0.88800
68779923_2_1000046510804975562.csv,0,3,0.00100,0.88800
68779923_2_1000046510804975562.csv,0,4,0.01600,0.88600
68779923_2_1000046510804975562.csv,0,5,0.03100,0.88400
71137051_0_8039724067857124984.csv,0,1,0.00100,0.00700
71137051_0_8039724067857124984.csv,0,2,0.00100,0.01300
71137051_0_8039724067857124984.csv,0,3,0.00100,0.36700
71137051_0_8039724067857124984.csv,0,4,0.00100,0.76700
71137051_0_8039724067857124984.csv,0,5,0.00100,0.85700
39650055_5_7135804139753401681.csv,1,1,0.00100,0.02600
39650055_5_7135804139753401681.csv,1,2,0.00100,0.05000
39650055_5_7135804139753401681.csv,1,3,0.01300,0.52700
39650055_5_7135804139753401681.csv,1,4,0.13400,0.64700
39650055_5_7135804139753401681.csv,1,5,0.22800,0.62800
64207896_0_3206705146602325658.csv,0,1,-1.00000,-1.00000
64207896_0_3206705146602325658.csv,0,2,-1.00000,-1.00000
64207896_0_3206705146602325658.csv,0,3,-1.00000,-1.00000
64207896_0_3206705146602325658.csv,0,4,-1.00000,-1.00000
64207896_0_3206705146602325658.csv,0,5,-1.00000,-1.00000
90593344_0_8311455501234425088.csv,1,1,-1.00000,-1.00000
90593344_0_8311455501234425088.csv,1,2,-1.00000,-1.00000
90593344_0_8311455501234425088.csv,1,3,-1.00000,-1.00000
90593344_0_8311455501234425088.csv,1,4,-1.00000,-1.00000
90593344_0_8311455501234425088.csv,1,5,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,1,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,2,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,3,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,4,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,5,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,1,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,2,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,3,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,4,-1.00000,-1.00000
