fname,colid,fsid,from_alpha,to_alpha
68779923_2_1000046510804975562.csv,0,1,0.00100,0.10500
68779923_2_1000046510804975562.csv,0,2,0.00100,0.19100
68779923_2_1000046510804975562.csv,0,3,0.00200,0.65700
68779923_2_1000046510804975562.csv,0,4,0.07400,0.65200
68779923_2_1000046510804975562.csv,0,5,0.13500,0.64700
71137051_0_8039724067857124984.csv,0,1,0.00100,0.00700
71137051_0_8039724067857124984.csv,0,2,0.00100,0.01400
71137051_0_8039724067857124984.csv,0,3,0.00100,0.37400
71137051_0_8039724067857124984.csv,0,4,0.00600,0.77200
71137051_0_8039724067857124984.csv,0,5,0.01100,0.86100
39650055_5_7135804139753401681.csv,1,1,0.00100,0.01800
39650055_5_7135804139753401681.csv,1,2,0.00100,0.03700
39650055_5_7135804139753401681.csv,1,3,0.01400,0.44600
39650055_5_7135804139753401681.csv,1,4,0.13200,0.66200
39650055_5_7135804139753401681.csv,1,5,0.22500,0.64400
64207896_0_3206705146602325658.csv,0,1,-1.00000,-1.00000
64207896_0_3206705146602325658.csv,0,2,-1.00000,-1.00000
64207896_0_3206705146602325658.csv,0,3,0.00200,0.00300
64207896_0_3206705146602325658.csv,0,4,0.06900,0.08500
64207896_0_3206705146602325658.csv,0,5,0.12700,0.15400
90593344_0_8311455501234425088.csv,1,1,0.00100,0.36100
90593344_0_8311455501234425088.csv,1,2,0.00100,0.52900
90593344_0_8311455501234425088.csv,1,3,0.00300,0.87900
90593344_0_8311455501234425088.csv,1,4,0.06100,0.88200
90593344_0_8311455501234425088.csv,1,5,0.11300,0.87900
41839679_0_3009344178474568371.csv,1,1,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,2,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,3,0.00200,0.00200
41839679_0_3009344178474568371.csv,1,4,-1.00000,-1.00000
41839679_0_3009344178474568371.csv,1,5,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,1,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,2,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,3,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,4,-1.00000,-1.00000
12125836_0_1134348206297032434.csv,1,5,-1.00000,-1.00000
2066887_0_746204117268168398.csv,0,1,0.00100,0.08700
2066887_0_746204117268168398.csv,0,2,0.00100,0.15900
2066887_0_746204117268168398.csv,0,3,0.00100,0.49800
2066887_0_746204117268168398.csv,0,4,0.00100,0.68700
2066887_0_746204117268168398.csv,0,5,0.00200,0.77200
24859353_0_7027810986004269522.csv,1,1,0.00100,0.08600
24859353_0_7027810986004269522.csv,1,2,0.00100,0.15900
24859353_0_7027810986004269522.csv,1,3,0.00200,0.73500
24859353_0_7027810986004269522.csv,1,4,0.05800,0.73200
24859353_0_7027810986004269522.csv,1,5,0.10800,0.72800
37856682_0_6818907050314633217.csv,1,1,-1.00000,-1.00000
37856682_0_6818907050314633217.csv,1,2,-1.00000,-1.00000
37856682_0_6818907050314633217.csv,1,3,-1.00000,-1.00000
37856682_0_6818907050314633217.csv,1,4,-1.00000,-1.00000
37856682_0_6818907050314633217.csv,1,5,-1.00000,-1.00000
29414811_13_8724394428539174350.csv,1,1,-1.00000,-1.00000
29414811_13_8724394428539174350.csv,1,2,-1.00000,-1.00000
29414811_13_8724394428539174350.csv,1,3,0.00100,0.04400
