fname,fs,alpha,k
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,1,0.001,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,2,0.001,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,3,0.001,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,4,0.03400000000000002,1
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,5,0.06400000000000004,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,1,0.001,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,2,0.001,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,3,0.012000000000000004,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,4,0.2570000000000002,1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,5,0.4050000000000003,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,1,0.001,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,2,0.001,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,3,0.005,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,4,0.11500000000000009,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,5,0.20300000000000015,1
68779923_2_1000046510804975562.csv,1,0.001,1
68779923_2_1000046510804975562.csv,2,0.001,1
68779923_2_1000046510804975562.csv,3,0.002,1
68779923_2_1000046510804975562.csv,4,0.04100000000000003,1
68779923_2_1000046510804975562.csv,5,0.07800000000000006,1
71137051_0_8039724067857124984.csv,1,0.001,1
71137051_0_8039724067857124984.csv,2,0.001,1
71137051_0_8039724067857124984.csv,3,0.001,1
71137051_0_8039724067857124984.csv,4,0.028000000000000018,1
71137051_0_8039724067857124984.csv,5,0.05400000000000004,1
