class,fsid,mean,median,num
http://dbpedia.org/ontology/Plant,1,0.50,0.50,2
http://dbpedia.org/ontology/Country,1,0.39,0.87,38
http://dbpedia.org/ontology/VideoGame,1,0.60,0.60,5
http://dbpedia.org/ontology/Bird,1,1.00,1.00,5
http://dbpedia.org/ontology/Museum,1,0.20,1.00,5
http://dbpedia.org/ontology/PoliticalParty,1,0.91,0.91,11
http://dbpedia.org/ontology/Saint,1,1.00,1.00,2
http://dbpedia.org/ontology/Animal,1,0.40,0.40,5
http://dbpedia.org/ontology/Book,1,0.50,0.50,2
http://dbpedia.org/ontology/Film,1,1.00,1.00,3
http://dbpedia.org/ontology/Company,1,0.20,0.80,15
http://dbpedia.org/ontology/City,1,0.89,1.00,9
http://dbpedia.org/ontology/Airline,1,1.00,1.00,2
http://dbpedia.org/ontology/Plant,2,0.50,0.50,2
http://dbpedia.org/ontology/Country,2,0.71,0.87,38
http://dbpedia.org/ontology/VideoGame,2,0.60,0.60,5
http://dbpedia.org/ontology/Bird,2,1.00,1.00,5
http://dbpedia.org/ontology/Museum,2,0.17,0.83,6
http://dbpedia.org/ontology/PoliticalParty,2,0.91,0.91,11
http://dbpedia.org/ontology/Saint,2,1.00,1.00,2
http://dbpedia.org/ontology/Animal,2,0.40,0.40,5
http://dbpedia.org/ontology/Book,2,0.50,0.50,2
http://dbpedia.org/ontology/Film,2,1.00,1.00,3
http://dbpedia.org/ontology/Company,2,0.27,0.80,15
http://dbpedia.org/ontology/City,2,0.89,1.00,9
http://dbpedia.org/ontology/Airline,2,1.00,1.00,2
http://dbpedia.org/ontology/Plant,3,1.00,1.00,2
http://dbpedia.org/ontology/Country,3,1.00,1.00,38
http://dbpedia.org/ontology/VideoGame,3,1.00,1.00,5
http://dbpedia.org/ontology/Bird,3,1.00,1.00,5
http://dbpedia.org/ontology/Museum,3,0.83,1.00,6
http://dbpedia.org/ontology/PoliticalParty,3,0.91,0.91,11
http://dbpedia.org/ontology/Saint,3,1.00,1.00,2
http://dbpedia.org/ontology/Animal,3,1.00,1.00,5
http://dbpedia.org/ontology/Book,3,0.50,0.50,2
http://dbpedia.org/ontology/Film,3,1.00,1.00,3
http://dbpedia.org/ontology/Company,3,0.93,0.93,15
http://dbpedia.org/ontology/City,3,1.00,1.00,9
http://dbpedia.org/ontology/Airline,3,1.00,1.00,2
http://dbpedia.org/ontology/Plant,4,1.00,1.00,2
http://dbpedia.org/ontology/Country,4,1.00,1.00,38
http://dbpedia.org/ontology/VideoGame,4,1.00,1.00,5
http://dbpedia.org/ontology/Bird,4,1.00,1.00,5
http://dbpedia.org/ontology/Museum,4,1.00,1.00,6
http://dbpedia.org/ontology/PoliticalParty,4,1.00,1.00,11
http://dbpedia.org/ontology/Saint,4,1.00,1.00,2
http://dbpedia.org/ontology/Animal,4,1.00,1.00,5
http://dbpedia.org/ontology/Book,4,1.00,1.00,2
http://dbpedia.org/ontology/Film,4,0.50,0.50,2
http://dbpedia.org/ontology/Company,4,0.86,0.86,14
http://dbpedia.org/ontology/City,4,1.00,1.00,9
http://dbpedia.org/ontology/Airline,4,1.00,1.00,2
http://dbpedia.org/ontology/Plant,5,1.00,1.00,2
http://dbpedia.org/ontology/Country,5,1.00,1.00,38
http://dbpedia.org/ontology/VideoGame,5,1.00,1.00,5
http://dbpedia.org/ontology/Bird,5,1.00,1.00,5
http://dbpedia.org/ontology/Museum,5,1.00,1.00,6
http://dbpedia.org/ontology/PoliticalParty,5,1.00,1.00,11
http://dbpedia.org/ontology/Saint,5,1.00,1.00,2
http://dbpedia.org/ontology/Animal,5,1.00,0.80,5
http://dbpedia.org/ontology/Book,5,1.00,1.00,2
http://dbpedia.org/ontology/Film,5,0.00,0.00,0
http://dbpedia.org/ontology/Company,5,1.00,1.00,12
http://dbpedia.org/ontology/City,5,1.00,1.00,9
http://dbpedia.org/ontology/Airline,5,1.00,1.00,2
